Parameter S1 S1_conf ST ST_conf
Tmax 0.009841 0.053665 0.048594 0.007663
h 0.012159 0.042242 0.030297 0.005197
Carbon 0.035654 0.095381 0.170166 0.020822
Hydrogen -0.025406 0.090699 0.154968 0.018021
k0 -0.011965 0.030861 0.016950 0.003078
k1 0.008395 0.021531 0.008283 0.003261
k2 -0.001772 0.032538 0.020467 0.002886
k3 0.012275 0.057437 0.060731 0.007683
k4 0.003135 0.013266 0.003081 0.001122
k5 0.002746 0.009040 0.001483 0.000371
k6 0.005749 0.050875 0.045479 0.007410
k7 0.014845 0.024351 0.011339 0.001920
k8 0.019728 0.032941 0.019426 0.002941
k9 0.000239 0.011169 0.002244 0.000450
k10 0.016913 0.033825 0.022561 0.045101
k11 0.000029 0.000088 0.000000 0.000000
k12 -0.003596 0.025088 0.009728 0.003196
k13 0.021311 0.040003 0.019468 0.037097
k14 0.005422 0.030687 0.016812 0.001976
k15 -0.002497 0.029154 0.015809 0.002699
k16 -0.000348 0.002249 0.000079 0.000020
k17 0.016178 0.037001 0.025916 0.004048
k18 -0.000830 0.004169 0.000261 0.000125
k19 0.000396 0.003399 0.000233 0.000099
k20 0.009910 0.009798 0.001777 0.000936
k21 0.030695 0.044197 0.038683 0.027182
k22 -0.001496 0.001956 0.000084 0.000063
k23 0.006148 0.030515 0.017215 0.002063
k24 -0.000058 0.000765 0.000010 0.000003
k25 -0.003541 0.005080 0.000487 0.000193
k26 0.005496 0.007942 0.001275 0.000437
k27 -0.000057 0.001180 0.000027 0.000011
k28 0.040786 0.069835 0.073607 0.038157
k29 0.001034 0.016400 0.004921 0.001092
k30 0.025737 0.058296 0.058520 0.009153
k31 0.114785 0.093727 0.151896 0.020233
k32 -0.002464 0.003458 0.000205 0.000080
k33 0.000064 0.001639 0.000045 0.000018
k34 0.004030 0.028277 0.015316 0.002326
k35 0.001600 0.005977 0.000723 0.000163
k36 -0.000038 0.000137 0.000001 0.000000
k37 -0.000018 0.000037 0.000000 0.000000
k38 -0.004156 0.025480 0.011970 0.001460
k39 0.000043 0.005132 0.000485 0.000087
k40 0.000418 0.003424 0.000347 0.000532
k41 -0.000922 0.004704 0.000459 0.000254
k42 -0.000095 0.005110 0.000536 0.000103
k43 0.000228 0.001167 0.000026 0.000014
k44 0.000031 0.000282 0.000002 0.000002
k45 0.000183 0.001021 0.000018 0.000010
k46 -0.000345 0.001751 0.000055 0.000032
k47 0.000125 0.000180 0.000001 0.000000
k48 -0.001277 0.031179 0.017045 0.002223
k49 0.003673 0.009137 0.001665 0.000296
k50 0.012908 0.038788 0.031878 0.017224
k51 0.004405 0.008660 0.001355 0.000198
k52 0.068313 0.062765 0.081174 0.009123
k53 0.059092 0.063219 0.071138 0.015883
k54 -0.004038 0.009294 0.001665 0.000507
k55 0.002213 0.007293 0.000946 0.000198
k56 0.004051 0.013394 0.002932 0.000426
k57 0.103751 0.082589 0.108385 0.041066
k58 0.015077 0.056637 0.055913 0.009877
k59 0.000025 0.000183 0.000001 0.000000
k60 0.000030 0.000043 0.000000 0.000000
k61 -0.009429 0.028580 0.014145 0.003988
k62 0.000207 0.003323 0.000190 0.000075
k63 0.000908 0.002175 0.000092 0.000037
k64 -0.000001 0.000019 0.000000 0.000000
k65 -0.000016 0.000093 0.000000 0.000000
k66 0.000619 0.001327 0.000034 0.000014
k67 0.005448 0.004113 0.000350 0.000176
k68 0.000126 0.002803 0.000136 0.000024
k69 -0.002442 0.007778 0.001078 0.000214
