Parameter S1 S1_conf ST ST_conf
Tmax 0.002205 0.046923 0.057381 0.012070
h 0.009389 0.022226 0.014071 0.003479
Carbon 0.031995 0.075955 0.149760 0.019206
Hydrogen 0.253890 0.126177 0.478404 0.041036
k0 -0.005266 0.013912 0.004735 0.000787
k1 -0.004252 0.015252 0.006115 0.001159
k2 -0.003153 0.019197 0.010159 0.001628
k3 0.001322 0.041742 0.045289 0.006348
k4 -0.000825 0.012206 0.004305 0.002125
k5 -0.001888 0.012348 0.003880 0.001014
k6 0.010036 0.058742 0.086210 0.013954
k7 0.001692 0.036336 0.030103 0.009362
k8 -0.010186 0.020735 0.010918 0.002111
k9 -0.000987 0.007868 0.001432 0.000525
k10 0.002093 0.004256 0.000666 0.001356
k11 0.000041 0.000060 0.000000 0.000000
k12 -0.000213 0.004165 0.000449 0.000172
k13 0.003170 0.006191 0.000814 0.001628
k14 0.010061 0.022484 0.014063 0.001793
k15 0.015957 0.020283 0.011327 0.003126
k16 0.000530 0.001485 0.000055 0.000017
k17 0.004723 0.021675 0.014705 0.002884
k18 0.001142 0.003154 0.000262 0.000156
k19 0.001584 0.005335 0.000815 0.000492
k20 -0.006571 0.016641 0.007211 0.003180
k21 0.006882 0.032232 0.026435 0.005509
k22 0.002006 0.003683 0.000234 0.000190
k23 -0.002958 0.025290 0.015281 0.001795
k24 0.000157 0.000384 0.000004 0.000001
k25 -0.002686 0.005638 0.000789 0.000307
k26 0.003004 0.012735 0.003787 0.001554
k27 0.000425 0.001122 0.000023 0.000011
k28 -0.003181 0.030088 0.023700 0.003488
k29 -0.006878 0.010038 0.002862 0.000607
k30 0.015633 0.031405 0.026095 0.005040
k31 0.027688 0.064493 0.111848 0.013828
k32 -0.001437 0.002108 0.000128 0.000034
k33 0.000385 0.001609 0.000082 0.000026
k34 -0.002439 0.010862 0.002656 0.000487
k35 -0.001715 0.003103 0.000247 0.000055
k36 -0.000104 0.000205 0.000001 0.000001
k37 -0.000024 0.000044 0.000000 0.000000
k38 -0.007137 0.013811 0.004468 0.000547
k39 -0.000639 0.003222 0.000278 0.000065
k40 -0.000954 0.003458 0.000205 0.000227
k41 -0.001330 0.004993 0.000690 0.000501
k42 -0.002732 0.005778 0.001002 0.000372
k43 0.000049 0.002937 0.000621 0.000871
k44 -0.000063 0.000205 0.000001 0.000001
k45 0.000664 0.001289 0.000052 0.000046
k46 0.000092 0.001665 0.000084 0.000048
k47 0.000003 0.000284 0.000003 0.000002
k48 0.001614 0.016024 0.006178 0.000820
k49 0.000161 0.005568 0.000721 0.000186
k50 -0.008649 0.014171 0.004952 0.000811
k51 0.000165 0.004549 0.000539 0.000105
k52 0.008876 0.023174 0.014606 0.002591
k53 0.012308 0.015987 0.006951 0.001168
k54 -0.000233 0.006342 0.001192 0.000272
k55 -0.001294 0.004620 0.000608 0.000132
k56 0.016562 0.031149 0.024360 0.003086
k57 0.039724 0.038054 0.035153 0.003745
k58 0.001299 0.015619 0.005168 0.001615
k59 0.000032 0.000044 0.000000 0.000000
k60 0.000007 0.000012 0.000000 0.000000
k61 -0.003482 0.008294 0.001799 0.000859
k62 0.000524 0.000855 0.000013 0.000013
k63 0.000137 0.002661 0.000165 0.000048
k64 0.000005 0.000012 0.000000 0.000000
k65 0.000019 0.000040 0.000000 0.000000
k66 0.000411 0.000554 0.000007 0.000003
k67 0.004124 0.005248 0.000685 0.000480
k68 -0.000675 0.005710 0.000975 0.000456
k69 -0.001214 0.004129 0.000386 0.000132
k70 0.001240 0.012166 0.003519 0.000660
k71 0.004156 0.006376 0.000833 0.001623
k72 0.000015 0.000018 0.000000 0.000000
k73 -0.000391 0.002863 0.000206 0.000065
k74 0.000004 0.000007 0.000000 0.000000
k75 0.000601 0.001951 0.000101 0.000058
k76 0.000003 0.000012 0.000000 0.000000
k77 0.000825 0.001670 0.000068 0.000138
k78 -0.000030 0.000068 0.000001 0.000001
k79 -0.001969 0.002884 0.000256 0.000235
k80 -0.001109 0.002024 0.000106 0.000032
k81 -0.003455 0.006713 0.001097 0.000513
k82 0.001584 0.009794 0.002318 0.000336
k83 0.000763 0.001240 0.000039 0.000010
k84 0.000017 0.000065 0.000000 0.000000
k85 0.000006 0.000013 0.000000 0.000000
k86 0.000530 0.003772 0.000362 0.000063
k87 0.000194 0.000653 0.000011 0.000003
k88 0.000004 0.000007 0.000000 0.000000
k89 -0.000032 0.000053 0.000000 0.000000
k90 -0.000090 0.000255 0.000031 0.000059
k91 -0.000324 0.000605 0.000031 0.000047
k92 0.000094 0.000215 0.000001 0.000002
k93 0.000004 0.000007 0.000000 0.000000
k94 0.000004 0.000007 0.000000 0.000000
k95 0.000004 0.000007 0.000000 0.000000
k96 0.000004 0.000007 0.000000 0.000000
k97 0.000004 0.000007 0.000000 0.000000
k98 0.000004 0.000007 0.000000 0.000000
k99 0.000004 0.000007 0.000000 0.000000
k100 0.000005 0.000007 0.000000 0.000000
k101 0.000087 0.000349 0.000004 0.000002
k102 0.000004 0.000007 0.000000 0.000000
k103 0.000827 0.001673 0.000068 0.000138
k104 -0.006783 0.027710 0.017688 0.002288
k105 0.029948 0.032980 0.027948 0.006943
k106 -0.014384 0.046956 0.050426 0.008265
k107 -0.034808 0.035965 0.030295 0.007849
k108 0.073030 0.067587 0.114982 0.021902
k109 0.000482 0.007989 0.001645 0.000406
k110 0.014264 0.028300 0.019877 0.004085
k111 0.000822 0.001670 0.000068 0.000138
k112 -0.000088 0.000188 0.000001 0.000002
k113 0.000008 0.000011 0.000000 0.000000
k114 -0.000058 0.000133 0.000000 0.000000
k115 0.001806 0.002980 0.000255 0.000483
k116 0.003081 0.006169 0.000807 0.001621
k117 -0.000143 0.001510 0.000061 0.000019
k118 0.000350 0.001810 0.000096 0.000043
k119 0.004656 0.007675 0.001413 0.001644
k120 0.000002 0.000031 0.000000 0.000000
k121 -0.000088 0.000831 0.000018 0.000013
k122 0.000003 0.000013 0.000000 0.000000
k123 -0.000003 0.000013 0.000000 0.000000
k124 0.000796 0.001673 0.000068 0.000138
k125 -0.000055 0.000112 0.000000 0.000000
k126 0.000090 0.000116 0.000000 0.000000
k127 0.000497 0.001144 0.000025 0.000012
k128 -0.000058 0.000099 0.000000 0.000000
k129 -0.000520 0.002116 0.000104 0.000041
k130 0.002098 0.004257 0.000666 0.001356
k131 0.000004 0.000007 0.000000 0.000000
k132 0.000004 0.000007 0.000000 0.000000
k133 0.000023 0.000068 0.000000 0.000000
k134 0.000004 0.000007 0.000000 0.000000
k135 -0.000025 0.000072 0.000000 0.000000
k136 -0.000130 0.000889 0.000022 0.000007
k137 0.000009 0.000015 0.000000 0.000000
k138 0.001807 0.005472 0.000628 0.000183
k139 -0.000316 0.002009 0.000103 0.000038
k140 0.003060 0.004759 0.000597 0.000156
k141 0.000007 0.000088 0.000000 0.000000
k142 -0.000276 0.001107 0.000029 0.000012
k143 0.000004 0.000009 0.000000 0.000000
k144 0.000003 0.000007 0.000000 0.000000
k145 -0.000012 0.000025 0.000000 0.000000
k146 -0.000004 0.000091 0.000000 0.000000
k147 0.000029 0.000056 0.000000 0.000000
k148 -0.000464 0.001318 0.000049 0.000018
k149 0.000097 0.000129 0.000000 0.000000
k150 -0.000379 0.001717 0.000080 0.000018
k151 0.000016 0.000014 0.000000 0.000000
k152 0.000004 0.000007 0.000000 0.000000
k153 0.000004 0.000007 0.000000 0.000000
k154 0.000038 0.000047 0.000000 0.000000
k155 -0.000002 0.000023 0.000000 0.000000
k156 0.000020 0.000269 0.000002 0.000002
k157 -0.000613 0.001981 0.000093 0.000032
k158 -0.000094 0.000212 0.000001 0.000001
k159 -0.002009 0.006182 0.000982 0.000354
k160 -0.002097 0.004754 0.000736 0.000200
k161 -0.005322 0.009187 0.002215 0.000596
k162 -0.000034 0.000100 0.000000 0.000000
k163 -0.001356 0.001381 0.000055 0.000023
k164 -0.000133 0.000166 0.000001 0.000001
k165 0.002091 0.004255 0.000666 0.001356
k166 -0.000056 0.000412 0.000007 0.000008
k167 -0.000062 0.000951 0.000018 0.000024
k168 -0.000375 0.000660 0.000010 0.000010
k169 0.000619 0.002369 0.000128 0.000064
k170 -0.000231 0.000520 0.000012 0.000011
k171 -0.000205 0.003370 0.000348 0.000108
k172 0.000158 0.000292 0.000002 0.000002
k173 0.000976 0.001875 0.000202 0.000387
k174 0.000823 0.001671 0.000068 0.000138
k175 -0.000419 0.001202 0.000028 0.000036
k176 -0.000029 0.000140 0.000001 0.000000
k177 -0.000129 0.000366 0.000004 0.000001
k178 0.000219 0.001501 0.000073 0.000020
k179 0.002851 0.003065 0.000226 0.000099
k180 -0.000063 0.000914 0.000017 0.000012
k181 -0.000237 0.017702 0.008944 0.001893
k182 0.000000 0.000000 0.000000 0.000000
k183 -0.000004 0.000333 0.000004 0.000002
k184 -0.000546 0.003002 0.000229 0.000087
k185 0.000763 0.001016 0.000027 0.000012
k186 -0.001022 0.001638 0.000070 0.000120
k187 -0.000263 0.001363 0.000063 0.000044
k188 -0.000552 0.001605 0.000070 0.000027
k189 0.000178 0.000729 0.000014 0.000007
k190 -0.003573 0.004424 0.000700 0.000311
k191 -0.000259 0.003049 0.000210 0.000141
k192 0.006197 0.013689 0.004794 0.001389
k193 0.000883 0.004895 0.000561 0.000224
k194 -0.000161 0.000346 0.000003 0.000002
k195 0.000030 0.000023 0.000000 0.000000
k196 -0.000240 0.000653 0.000011 0.000007
