Parameter S1 S1_conf ST ST_conf
Tmax -0.000235 0.035144 0.064423 0.011099
h -0.006755 0.020918 0.022156 0.005685
Carbon -0.009590 0.047319 0.144982 0.017407
Hydrogen 0.179067 0.089670 0.407540 0.039221
k0 0.002394 0.008766 0.005994 0.001284
k1 0.002568 0.013677 0.011680 0.002017
k2 0.001227 0.013175 0.009245 0.001666
k3 0.030899 0.033511 0.067140 0.009144
k4 0.002847 0.007858 0.002093 0.000762
k5 0.002215 0.009231 0.005457 0.001236
k6 0.046870 0.045738 0.124867 0.017929
k7 0.024627 0.022489 0.037028 0.007789
k8 0.002232 0.016209 0.016576 0.002809
k9 0.001641 0.004566 0.001492 0.000297
k10 -0.002330 0.004311 0.000885 0.001638
k11 -0.000015 0.000027 0.000000 0.000000
k12 -0.000229 0.003844 0.000754 0.000272
k13 -0.001807 0.003504 0.000959 0.001904
k14 0.005085 0.010582 0.005723 0.001477
k15 -0.003358 0.012833 0.011520 0.003626
k16 0.000158 0.001079 0.000079 0.000024
k17 0.007668 0.016656 0.015235 0.002894
k18 -0.001570 0.002016 0.000298 0.000178
k19 -0.000888 0.001142 0.000088 0.000053
k20 0.007054 0.009490 0.004284 0.001858
k21 -0.005785 0.020519 0.023198 0.004572
k22 -0.000336 0.001082 0.000189 0.000146
k23 0.006852 0.010314 0.004895 0.001174
k24 -0.000115 0.000299 0.000006 0.000002
k25 -0.000738 0.001502 0.000147 0.000063
k26 -0.003814 0.005316 0.002053 0.000833
k27 0.000062 0.000470 0.000011 0.000008
k28 0.009185 0.026302 0.040893 0.005234
k29 0.005704 0.009844 0.005499 0.001526
k30 0.005681 0.027164 0.039400 0.006170
k31 0.021048 0.048393 0.150018 0.017393
k32 0.000437 0.003434 0.000553 0.000290
k33 -0.000177 0.000832 0.000045 0.000020
k34 -0.002377 0.008408 0.004578 0.000702
k35 0.001656 0.002865 0.000534 0.000111
k36 0.000149 0.000305 0.000007 0.000008
k37 0.000014 0.000032 0.000000 0.000000
k38 0.007412 0.010546 0.007432 0.000881
k39 0.001364 0.002864 0.000502 0.000101
k40 0.001399 0.002092 0.000188 0.000179
k41 0.001370 0.003751 0.000597 0.000334
k42 0.005572 0.005447 0.001265 0.000412
k43 0.002689 0.005014 0.000455 0.000592
k44 0.000009 0.000153 0.000002 0.000002
k45 0.000320 0.000546 0.000022 0.000014
k46 0.000209 0.001688 0.000155 0.000093
k47 -0.000108 0.000192 0.000003 0.000002
k48 0.002861 0.011667 0.009578 0.001399
k49 0.001384 0.004495 0.001435 0.000284
k50 -0.001079 0.010880 0.006665 0.001168
k51 0.000065 0.003969 0.001012 0.000204
k52 0.002555 0.012699 0.010684 0.003414
k53 -0.007701 0.012707 0.010013 0.002094
k54 0.002130 0.004375 0.001117 0.000278
k55 0.001251 0.002898 0.000479 0.000144
k56 0.000402 0.010059 0.005599 0.000871
k57 0.015741 0.021542 0.029608 0.003172
k58 0.001241 0.009508 0.006489 0.002192
k59 -0.000024 0.000029 0.000000 0.000000
k60 0.000002 0.000003 0.000000 0.000000
k61 0.005329 0.006513 0.002564 0.001007
k62 -0.000008 0.000381 0.000016 0.000012
k63 -0.000144 0.001854 0.000220 0.000044
k64 0.000002 0.000010 0.000000 0.000000
k65 -0.000026 0.000055 0.000000 0.000000
k66 -0.000094 0.000296 0.000007 0.000005
k67 0.004069 0.002646 0.000318 0.000179
k68 0.003004 0.004449 0.000914 0.000373
k69 0.001031 0.003605 0.001130 0.000318
k70 -0.000063 0.004369 0.001223 0.000232
k71 -0.002136 0.003601 0.001009 0.001899
k72 -0.000010 0.000016 0.000000 0.000000
k73 -0.000437 0.001809 0.000214 0.000072
k74 -0.000000 0.000000 0.000000 0.000000
k75 -0.000095 0.001322 0.000104 0.000062
k76 0.000006 0.000008 0.000000 0.000000
k77 -0.000347 0.000692 0.000031 0.000062
k78 0.001003 0.001962 0.000149 0.000291
k79 0.000977 0.002977 0.000469 0.000352
k80 -0.000045 0.001343 0.000131 0.000032
k81 0.000708 0.004204 0.001194 0.000682
k82 0.000582 0.004557 0.001516 0.000218
k83 -0.000770 0.000787 0.000043 0.000013
k84 -0.000002 0.000019 0.000000 0.000000
k85 -0.000005 0.000009 0.000000 0.000000
k86 0.000477 0.003007 0.000598 0.000113
k87 -0.000182 0.000571 0.000019 0.000005
k88 -0.000000 0.000000 0.000000 0.000000
k89 0.000039 0.000064 0.000000 0.000000
k90 0.000668 0.001271 0.000020 0.000038
