Parameter S1 S1_conf ST ST_conf
Tmax 0.024528 0.035912 0.057354 0.008509
h 0.002197 0.013190 0.008157 0.002084
Carbon 0.228266 0.082171 0.307119 0.026950
Hydrogen 0.518645 0.116626 0.596152 0.041994
k0 0.000560 0.007815 0.003221 0.000614
k1 -0.003851 0.004951 0.000930 0.000205
k2 0.002002 0.007998 0.002858 0.000454
k3 -0.000776 0.012911 0.007209 0.001659
k4 -0.000080 0.004914 0.001192 0.000272
k5 -0.000721 0.004339 0.000870 0.000235
k6 -0.015284 0.017906 0.014461 0.004521
k7 -0.007670 0.012370 0.007147 0.001774
k8 -0.002158 0.008033 0.003015 0.000552
k9 0.001231 0.002405 0.000258 0.000069
k10 -0.000996 0.001902 0.000128 0.000244
k11 -0.000041 0.000153 0.000001 0.000000
k12 -0.000269 0.001906 0.000160 0.000056
k13 -0.000026 0.000272 0.000006 0.000007
k14 0.002271 0.012952 0.007227 0.001061
k15 0.002321 0.009579 0.004043 0.000872
k16 0.000202 0.000616 0.000017 0.000004
k17 -0.001695 0.010326 0.005092 0.000798
k18 -0.000379 0.001291 0.000071 0.000035
k19 0.000960 0.002323 0.000267 0.000140
k20 -0.003825 0.006963 0.002607 0.001054
k21 0.002932 0.021456 0.021042 0.003679
k22 0.001163 0.002190 0.000143 0.000092
k23 -0.000366 0.011683 0.006464 0.000949
k24 0.000037 0.000134 0.000001 0.000000
k25 0.001666 0.002385 0.000286 0.000137
k26 -0.001895 0.005883 0.001474 0.000945
k27 0.000131 0.000407 0.000005 0.000003
k28 -0.005337 0.009374 0.003928 0.000637
k29 -0.001475 0.003408 0.000505 0.000187
k30 -0.003777 0.015644 0.010293 0.001981
k31 0.001269 0.019261 0.018421 0.003372
k32 0.000612 0.001803 0.000186 0.000117
k33 0.000227 0.000282 0.000004 0.000002
k34 0.000451 0.011335 0.005268 0.000813
k35 -0.002518 0.002879 0.000430 0.000085
k36 -0.000002 0.000117 0.000000 0.000000
k37 0.000011 0.000011 0.000000 0.000000
k38 0.004125 0.020441 0.017611 0.002051
k39 -0.000691 0.005171 0.001111 0.000210
k40 -0.001475 0.002043 0.000072 0.000080
k41 -0.000719 0.002426 0.000185 0.000079
k42 -0.002872 0.015315 0.010404 0.001611
k43 -0.000750 0.003424 0.000582 0.000212
k44 -0.000022 0.000162 0.000001 0.000001
k45 0.000098 0.000578 0.000015 0.000007
k46 -0.000707 0.001906 0.000167 0.000054
k47 -0.000232 0.000521 0.000008 0.000007
k48 -0.011398 0.009443 0.003851 0.000458
k49 -0.000314 0.002215 0.000194 0.000037
k50 -0.001481 0.010223 0.004407 0.000747
k51 0.001637 0.002573 0.000314 0.000049
k52 0.000506 0.006451 0.001978 0.000367
k53 -0.001035 0.004319 0.000834 0.000148
k54 0.000448 0.002830 0.000401 0.000082
k55 -0.001217 0.003124 0.000427 0.000128
k56 0.000115 0.006697 0.002041 0.000304
k57 0.008074 0.009425 0.003707 0.000630
k58 -0.000236 0.005278 0.000839 0.000599
k59 0.000001 0.000010 0.000000 0.000000
k60 -0.000003 0.000006 0.000000 0.000000
k61 -0.000076 0.004213 0.000929 0.000319
