Parameter S1 S1_conf ST ST_conf
Tmax 0.005716 0.058063 0.061098 0.009024
h 0.004397 0.028429 0.014253 0.002754
Carbon 0.043468 0.082524 0.116634 0.013368
Hydrogen 0.283533 0.171196 0.452220 0.039839
k0 0.004064 0.027918 0.012879 0.002086
k1 -0.004944 0.014410 0.003929 0.000750
k2 0.003976 0.029724 0.017155 0.002423
k3 -0.006782 0.028562 0.013043 0.001823
k4 0.002113 0.009223 0.001573 0.000522
k5 0.000180 0.007637 0.001102 0.000319
k6 -0.021247 0.035995 0.022309 0.003868
k7 -0.010704 0.020361 0.007810 0.001791
k8 0.002675 0.035573 0.021685 0.003233
k9 -0.001901 0.008221 0.001339 0.000382
k10 0.002151 0.004298 0.000349 0.000698
k11 0.000070 0.000404 0.000002 0.000001
k12 0.000805 0.007700 0.000953 0.000483
k13 -0.000113 0.000906 0.000015 0.000006
k14 0.023312 0.054623 0.046156 0.006003
k15 -0.006203 0.039225 0.024682 0.005547
k16 -0.000262 0.002296 0.000089 0.000023
k17 0.004631 0.043475 0.034806 0.004909
k18 -0.001080 0.005611 0.000468 0.000207
k19 -0.000567 0.003352 0.000214 0.000095
k20 -0.008194 0.007532 0.001104 0.000460
k21 0.002109 0.020317 0.007671 0.001636
k22 0.000325 0.001897 0.000060 0.000051
k23 0.019742 0.047265 0.041873 0.005458
k24 0.000158 0.000559 0.000006 0.000002
k25 0.002692 0.004120 0.000297 0.000122
k26 0.003095 0.008523 0.001309 0.000581
k27 0.000379 0.000621 0.000007 0.000003
k28 -0.015561 0.032646 0.018582 0.003378
k29 -0.002781 0.010495 0.001991 0.000407
k30 0.008770 0.023764 0.009691 0.001559
k31 -0.050191 0.048741 0.044987 0.007152
k32 0.000858 0.007643 0.001206 0.000756
k33 0.000400 0.001589 0.000045 0.000023
k34 0.026154 0.053726 0.050232 0.006309
k35 -0.010119 0.017400 0.005125 0.001063
k36 -0.000602 0.001001 0.000019 0.000018
k37 -0.000072 0.000106 0.000000 0.000000
k38 0.095554 0.089975 0.153443 0.015958
k39 0.010730 0.025249 0.010065 0.002139
k40 -0.001185 0.002149 0.000064 0.000087
k41 0.004796 0.008658 0.001570 0.000900
k42 0.027157 0.030660 0.016879 0.002613
k43 -0.002949 0.006235 0.000700 0.000198
k44 -0.000095 0.000226 0.000001 0.000001
k45 -0.000803 0.002107 0.000100 0.000049
k46 0.000280 0.003962 0.000267 0.000075
k47 0.000401 0.001190 0.000021 0.000021
k48 0.028289 0.052980 0.049495 0.007057
k49 0.003623 0.009184 0.001484 0.000216
k50 0.006096 0.039684 0.026611 0.004162
k51 0.006027 0.010841 0.002071 0.000542
k52 0.009765 0.020946 0.008333 0.001422
k53 0.004171 0.012454 0.002809 0.000394
k54 -0.001038 0.011287 0.002499 0.000418
k55 -0.003685 0.011756 0.002612 0.000670
k56 -0.002048 0.023224 0.009863 0.001571
k57 0.015280 0.019792 0.006849 0.001040
k58 -0.002807 0.008450 0.001434 0.000397
k59 0.000004 0.000027 0.000000 0.000000
k60 -0.000024 0.000029 0.000000 0.000000
k61 0.005820 0.020409 0.007217 0.001912
k62 0.001255 0.001570 0.000039 0.000019
k63 -0.004192 0.012103 0.002821 0.000587
k64 -0.000005 0.000033 0.000000 0.000000
k65 0.000080 0.000173 0.000000 0.000001
k66 0.000177 0.000394 0.000002 0.000002
k67 -0.005200 0.003895 0.000364 0.000262
k68 0.005675 0.007763 0.001103 0.000248
k69 0.000109 0.003338 0.000198 0.000076
k70 -0.002600 0.008144 0.001208 0.000296
k71 0.000162 0.001044 0.000023 0.000020
k72 0.000006 0.000019 0.000000 0.000000
k73 -0.001298 0.002266 0.000117 0.000046
k74 0.000001 0.000001 0.000000 0.000000
k75 0.000827 0.001237 0.000032 0.000027
k76 0.000001 0.000011 0.000000 0.000000
k77 0.000387 0.000728 0.000051 0.000097
k78 0.000095 0.000192 0.000001 0.000001
k79 0.000145 0.002563 0.000142 0.000100
k80 0.000698 0.006592 0.000791 0.000258
k81 0.009329 0.015343 0.004556 0.001212
k82 0.005228 0.029439 0.015892 0.002389
k83 0.001257 0.002529 0.000106 0.000034
k84 -0.000046 0.000118 0.000000 0.000000
k85 0.000051 0.000103 0.000000 0.000000
k86 0.004266 0.037809 0.023695 0.004355
k87 0.006062 0.007504 0.000983 0.000474
k88 0.003801 0.006731 0.000708 0.000321
k89 -0.002024 0.004090 0.000286 0.000143
k90 -0.000559 0.000631 0.000021 0.000037
k91 -0.003529 0.002480 0.000112 0.000069
k92 -0.011065 0.019175 0.005759 0.001901
k93 0.000326 0.000681 0.000006 0.000008
k94 0.000001 0.000001 0.000000 0.000000
k95 0.000001 0.000001 0.000000 0.000000
k96 0.000001 0.000001 0.000000 0.000000
k97 0.000002 0.000009 0.000000 0.000000
k98 0.000001 0.000001 0.000000 0.000000
k99 0.000001 0.000001 0.000000 0.000000
k100 0.000004 0.000006 0.000000 0.000000
k101 0.000224 0.000710 0.000008 0.000006
k102 0.000001 0.000001 0.000000 0.000000
k103 0.000384 0.000729 0.000051 0.000097
k104 -0.011737 0.038531 0.026398 0.004769
k105 0.009464 0.021146 0.008069 0.001737
k106 -0.023787 0.044505 0.032981 0.007167
k107 -0.036277 0.027275 0.014045 0.002460
k108 -0.003479 0.039492 0.029114 0.005228
k109 -0.001479 0.006095 0.000692 0.000155
k110 -0.008953 0.017185 0.005164 0.000990
k111 0.000383 0.000728 0.000051 0.000097
k112 0.000058 0.000133 0.000000 0.000001
k113 -0.000000 0.000002 0.000000 0.000000
k114 -0.000057 0.000086 0.000000 0.000000
k115 0.001429 0.002208 0.000063 0.000087
k116 0.000027 0.000052 0.000000 0.000000
k117 0.000575 0.001436 0.000039 0.000010
k118 0.002015 0.002144 0.000069 0.000017
k119 0.003252 0.005422 0.000486 0.000092
k120 -0.000004 0.000040 0.000000 0.000000
k121 0.000327 0.000760 0.000012 0.000006
k122 0.000001 0.000009 0.000000 0.000000
k123 0.000001 0.000003 0.000000 0.000000
k124 0.000472 0.000747 0.000052 0.000097
k125 -0.000006 0.000052 0.000000 0.000000
k126 0.000014 0.000030 0.000000 0.000000
k127 0.000128 0.000790 0.000012 0.000005
k128 -0.000073 0.000161 0.000000 0.000000
k129 -0.000141 0.001652 0.000048 0.000014
k130 0.002120 0.004299 0.000349 0.000698
k131 0.000001 0.000001 0.000000 0.000000
k132 0.000001 0.000002 0.000000 0.000000
k133 -0.000003 0.000045 0.000000 0.000000
k134 0.000001 0.000001 0.000000 0.000000
k135 -0.000017 0.000039 0.000000 0.000000
k136 -0.000428 0.000993 0.000017 0.000005
k137 0.000006 0.000023 0.000000 0.000000
k138 0.002372 0.003431 0.000195 0.000043
k139 -0.001324 0.001757 0.000057 0.000015
k140 0.004028 0.004730 0.000403 0.000080
k141 0.000048 0.000092 0.000000 0.000000
k142 0.000325 0.001379 0.000036 0.000022
k143 0.000004 0.000010 0.000000 0.000000
k144 -0.000004 0.000007 0.000000 0.000000
k145 0.000013 0.000030 0.000000 0.000000
k146 -0.000058 0.000143 0.000000 0.000000
k147 0.000016 0.000077 0.000000 0.000000
k148 -0.001012 0.001606 0.000068 0.000054
k149 0.000018 0.000142 0.000000 0.000000
k150 0.000027 0.001729 0.000054 0.000013
k151 -0.000005 0.000025 0.000000 0.000000
k152 0.000001 0.000002 0.000000 0.000000
k153 -0.000000 0.000006 0.000000 0.000000
k154 0.000008 0.000026 0.000000 0.000000
k155 -0.000009 0.000016 0.000000 0.000000
k156 -0.000212 0.000464 0.000003 0.000004
k157 -0.001155 0.001554 0.000044 0.000018
k158 -0.000059 0.000202 0.000001 0.000000
k159 0.001509 0.003906 0.000315 0.000135
k160 -0.002858 0.003508 0.000198 0.000057
k161 -0.001170 0.005843 0.000706 0.000191
k162 -0.000203 0.000234 0.000001 0.000002
k163 -0.000621 0.001053 0.000020 0.000006
k164 -0.000097 0.000131 0.000000 0.000000
k165 0.002158 0.004300 0.000349 0.000698
k166 0.000073 0.000129 0.000000 0.000000
k167 -0.000183 0.000467 0.000003 0.000004
k168 -0.000100 0.000270 0.000001 0.000001
k169 -0.002841 0.001652 0.000075 0.000032
k170 -0.000407 0.000760 0.000006 0.000007
k171 0.000216 0.002803 0.000128 0.000045
k172 -0.000024 0.000179 0.000001 0.000001
k173 0.000974 0.001937 0.000128 0.000254
k174 0.000387 0.000729 0.000051 0.000097
k175 0.000256 0.000569 0.000006 0.000004
k176 0.000090 0.000294 0.000001 0.000001
k177 -0.000105 0.000335 0.000004 0.000005
k178 -0.000163 0.004346 0.000418 0.000341
k179 0.002916 0.005970 0.000803 0.000500
k180 -0.000128 0.000735 0.000009 0.000005
k181 0.014296 0.032678 0.019784 0.003167
k182 0.000000 0.000000 0.000000 0.000000
k183 0.000389 0.000880 0.000013 0.000008
k184 0.000404 0.003635 0.000255 0.000097
k185 0.000471 0.001765 0.000060 0.000034
k186 -0.000269 0.001318 0.000037 0.000018
k187 0.000140 0.000808 0.000014 0.000007
k188 -0.001175 0.002188 0.000087 0.000029
k189 -0.000116 0.001796 0.000061 0.000035
k190 -0.003776 0.006759 0.000707 0.000236
k191 -0.000520 0.003153 0.000186 0.000040
k192 -0.001704 0.017318 0.005102 0.001080
k193 -0.000832 0.006556 0.000745 0.000239
k194 -0.000289 0.000714 0.000012 0.000006
k195 0.000046 0.000044 0.000000 0.000000
k196 0.000098 0.000538 0.000004 0.000003
k197 -0.000152 0.000198 0.000001 0.000000
k198 -0.000033 0.000367 0.000005 0.000008
k199 -0.002926 0.002735 0.000134 0.000069
k200 0.003595 0.004987 0.000336 0.000439
k201 0.000173 0.000438 0.000004 0.000001
k202 0.000000 0.000000 0.000000 0.000000
k203 -0.013112 0.034182 0.019238 0.003743
k204 -0.000073 0.001070 0.000021 0.000017
k205 -0.002917 0.003307 0.000241 0.000090
k206 -0.000424 0.000980 0.000020 0.000016
k207 0.000079 0.001474 0.000043 0.000025
k208 0.000425 0.000790 0.000010 0.000004
k209 0.000355 0.000950 0.000016 0.000005
