Parameter S1 S1_conf ST ST_conf
Tmax 0.072139 0.055180 0.113618 0.014903
h 0.000110 0.023886 0.020470 0.006788
Carbon 0.259227 0.097096 0.310752 0.027121
Hydrogen 0.220401 0.089699 0.285380 0.028845
k0 -0.000706 0.009951 0.003789 0.000910
k1 -0.002034 0.007370 0.001635 0.000394
k2 0.000059 0.010981 0.004106 0.000564
k3 0.004355 0.015679 0.008063 0.001656
k4 -0.000168 0.008411 0.002475 0.000595
k5 -0.001965 0.005054 0.000813 0.000233
k6 -0.019312 0.019604 0.012184 0.003365
k7 -0.011905 0.014400 0.007760 0.002310
k8 -0.003257 0.013105 0.005944 0.001084
k9 0.001853 0.003317 0.000383 0.000095
k10 -0.002356 0.004777 0.000630 0.001276
k11 -0.000169 0.000436 0.000004 0.000003
k12 0.000072 0.002515 0.000256 0.000140
k13 -0.000357 0.000503 0.000009 0.000012
k14 -0.004883 0.013833 0.006298 0.001059
k15 0.001870 0.010123 0.003890 0.000771
k16 -0.000360 0.000678 0.000017 0.000005
k17 0.001954 0.010032 0.003582 0.000600
k18 0.000387 0.001305 0.000065 0.000037
k19 0.001305 0.004419 0.000620 0.000347
k20 -0.004985 0.009804 0.003416 0.001344
k21 0.007459 0.031517 0.033609 0.005905
k22 0.001791 0.002681 0.000197 0.000129
k23 0.000394 0.012499 0.005321 0.000783
k24 0.000021 0.000195 0.000002 0.000000
k25 0.003660 0.004663 0.000725 0.000418
k26 -0.000870 0.008122 0.002058 0.001576
k27 -0.000019 0.000040 0.000000 0.000000
k28 0.004373 0.014883 0.008130 0.001292
k29 -0.003769 0.005806 0.001284 0.000679
k30 -0.000027 0.020329 0.012709 0.002401
k31 0.006986 0.025533 0.022076 0.003906
k32 -0.000091 0.001735 0.000126 0.000078
k33 -0.000092 0.000603 0.000016 0.000010
k34 0.032396 0.033547 0.035112 0.004622
k35 0.004650 0.012819 0.005118 0.001178
k36 0.000060 0.000149 0.000002 0.000002
k37 0.000033 0.000051 0.000000 0.000000
k38 0.086138 0.067332 0.139357 0.014028
k39 -0.002390 0.020028 0.011823 0.002580
k40 -0.001463 0.003771 0.000223 0.000427
k41 -0.000898 0.002895 0.000203 0.000103
k42 -0.004218 0.018207 0.010794 0.001734
k43 -0.000839 0.004538 0.000544 0.000178
k44 -0.000074 0.000207 0.000001 0.000001
k45 0.000003 0.000840 0.000022 0.000012
k46 -0.000952 0.002549 0.000179 0.000064
k47 -0.000312 0.000663 0.000014 0.000015
k48 -0.009721 0.028385 0.026951 0.003295
k49 0.000225 0.005380 0.000926 0.000188
k50 0.007539 0.023412 0.016707 0.002695
k51 -0.001542 0.007185 0.001675 0.000479
k52 -0.000370 0.013555 0.006502 0.001548
k53 -0.004300 0.009068 0.002663 0.000426
k54 0.002591 0.008745 0.002362 0.000435
k55 0.003023 0.008162 0.002042 0.000470
k56 0.001941 0.005011 0.000871 0.000284
k57 0.001214 0.007267 0.001756 0.000400
k58 -0.001402 0.004959 0.000871 0.000581
k59 0.000003 0.000014 0.000000 0.000000
k60 0.000003 0.000006 0.000000 0.000000
k61 -0.001131 0.004628 0.000684 0.000231
k62 0.000235 0.000466 0.000006 0.000004
k63 0.002919 0.003842 0.000422 0.000133
k64 0.000000 0.000015 0.000000 0.000000
k65 0.000008 0.000019 0.000000 0.000000
k66 -0.000006 0.000009 0.000000 0.000000
